USER           PID  PPID NAME                        ARGS                       
root           401     2 [irq/686-type-c-]           [irq/686-type-c-]
root           402     2 [irq/687-dcin-co]           [irq/687-dcin-co]
root           403     2 [irq/688-dcin-lt]           [irq/688-dcin-lt]
root           404     2 [irq/689-dcin-uv]           [irq/689-dcin-uv]
root           405     2 [irq/690-dcin-ov]           [irq/690-dcin-ov]
root           406     2 [irq/691-dcin-pl]           [irq/691-dcin-pl]
root           407     2 [irq/692-div2-en]           [irq/692-div2-en]
root           408     2 [irq/693-dcin-ic]           [irq/693-dcin-ic]
root           409     2 [irq/695-wdog-ba]           [irq/695-wdog-ba]
root           410     2 [irq/696-aicl-fa]           [irq/696-aicl-fa]
root           411     2 [irq/697-aicl-do]           [irq/697-aicl-do]
root           412     2 [irq/698-high-du]           [irq/698-high-du]
root           413     2 [irq/699-input-c]           [irq/699-input-c]
root           414     2 [irq/700-tempera]           [irq/700-tempera]
root           415     2 [irq/701-switche]           [irq/701-switche]
root           416     2 [update_pre_capa]           [update_pre_capa]
root           417     2 [irq/72-ptrain-d]           [irq/72-ptrain-d]
root           418     2 [irq/80-bcl-high]           [irq/80-bcl-high]
root           419     2 [irq/82-bcl-low-]           [irq/82-bcl-low-]
root           420     2 [irq/498-limits_]           [irq/498-limits_]
root           422     2 [irq/499-limits_]           [irq/499-limits_]
root           423     2 [bioset]                    [bioset]
root           425     2 [bioset]                    [bioset]
root           427     2 [bioset]                    [bioset]
root           428     2 [bioset]                    [bioset]
root           429     2 [qmi_tmd_wq]                [qmi_tmd_wq]
root           430     2 [bioset]                    [bioset]
root           431     2 [bioset]                    [bioset]
root           432     2 [bioset]                    [bioset]
root           433     2 [bioset]                    [bioset]
root           434     2 [bioset]                    [bioset]
root           435     2 [kworker/u16:4]             [kworker/u16:4]
root           436     2 [kworker/u16:5]             [kworker/u16:5]
root           439     2 [dm_bufio_cache]            [dm_bufio_cache]
root           441     2 [irq/89-haptics_]           [irq/89-haptics_]
root           442     2 [irq/88-haptics_]           [irq/88-haptics_]
root           443     2 [irq/66-vendor:e]           [irq/66-vendor:e]
root           444     2 [irq/373-gf]                [irq/373-gf]
root           445     2 [irq/189-arm-smm]           [irq/189-arm-smm]
root           446     2 [uaudio_svc]                [uaudio_svc]
root           447     2 [qmi_hndl0000000]           [qmi_hndl0000000]
root           449     2 [apr_driver]                [apr_driver]
root           450     2 [ipv6_addrconf]             [ipv6_addrconf]
root           451     2 [irq/832-adsp]              [irq/832-adsp]
root           453     2 [sysmon_wq]                 [sysmon_wq]
root           454     2 [irq/864-slpi]              [irq/864-slpi]
root           455     2 [irq/896-cdsp]              [irq/896-cdsp]
root           456     2 [irq/800-modem]             [irq/800-modem]
root           459     2 [kworker/3:1H]              [kworker/3:1H]
root           462     2 [usb_bam_wq]                [usb_bam_wq]
root           463     2 [irq/73-sig-tx]             [irq/73-sig-tx]
root           464     2 [irq/74-sig-rx]             [irq/74-sig-rx]
root           465     2 [irq/992-soc-upd]           [irq/992-soc-upd]
root           466     2 [irq/993-soc-rea]           [irq/993-soc-rea]
root           467     2 [irq/994-bsoc-de]           [irq/994-bsoc-de]
root           468     2 [irq/995-msoc-de]           [irq/995-msoc-de]
root           469     2 [irq/996-msoc-lo]           [irq/996-msoc-lo]
root           470     2 [irq/997-msoc-em]           [irq/997-msoc-em]
root           471     2 [irq/998-msoc-hi]           [irq/998-msoc-hi]
